País,Sexo,Años,id_fuente,ids_notas,iso3,valor
Venezuela (República Bolivariana de),Ambos sexos,2007,480,,VEN,50
Argentina,Hombres,2007,480,,ARG,49
Bolivia (Estado Plurinacional de),Hombres,2007,480,,BOL,44
Brasil,Hombres,2007,480,,BRA,42
Chile,Hombres,2007,480,,CHL,39
Colombia,Hombres,2007,480,,COL,35
Costa Rica,Hombres,2007,480,,CRI,34
República Dominicana,Hombres,2007,480,,DOM,27
Ecuador,Hombres,2007,480,,ECU,40
El Salvador,Hombres,2007,480,,SLV,45
Guatemala,Hombres,2007,480,,GTM,35
Honduras,Hombres,2007,480,,HND,48
México,Hombres,2007,480,,MEX,41
Nicaragua,Hombres,2007,480,,NIC,31
Panamá,Hombres,2007,480,,PAN,17
Paraguay,Hombres,2007,480,,PRY,44
Perú,Hombres,2007,480,,PER,44
Uruguay,Hombres,2007,480,,URY,36
Venezuela (República Bolivariana de),Hombres,2007,480,,VEN,49
Argentina,Mujeres,2007,480,,ARG,46
Bolivia (Estado Plurinacional de),Mujeres,2007,480,,BOL,41
Brasil,Mujeres,2007,480,,BRA,42
Chile,Mujeres,2007,480,,CHL,42
Colombia,Mujeres,2007,480,,COL,34
Costa Rica,Mujeres,2007,480,,CRI,30
República Dominicana,Mujeres,2007,480,,DOM,28
Ecuador,Mujeres,2007,480,,ECU,37
El Salvador,Mujeres,2007,480,,SLV,39
Guatemala,Mujeres,2007,480,,GTM,35
Honduras,Mujeres,2007,480,,HND,42
México,Mujeres,2007,480,,MEX,37
Nicaragua,Mujeres,2007,480,,NIC,25
Panamá,Mujeres,2007,480,,PAN,12
Paraguay,Mujeres,2007,480,,PRY,37
Perú,Mujeres,2007,480,,PER,42
Uruguay,Mujeres,2007,480,,URY,34
Venezuela (República Bolivariana de),Mujeres,2007,480,,VEN,51
Argentina,Ambos sexos,2008,480,,ARG,39
Bolivia (Estado Plurinacional de),Ambos sexos,2008,480,,BOL,33
Brasil,Ambos sexos,2008,480,,BRA,40
Chile,Ambos sexos,2008,480,,CHL,32
Colombia,Ambos sexos,2008,480,,COL,28
Costa Rica,Ambos sexos,2008,480,,CRI,34
República Dominicana,Ambos sexos,2008,480,,DOM,25
Ecuador,Ambos sexos,2008,480,,ECU,34
El Salvador,Ambos sexos,2008,480,,SLV,38
Guatemala,Ambos sexos,2008,480,,GTM,32
Honduras,Ambos sexos,2008,480,,HND,36
México,Ambos sexos,2008,480,,MEX,42
Nicaragua,Ambos sexos,2008,480,,NIC,28
Panamá,Ambos sexos,2008,480,,PAN,12
Paraguay,Ambos sexos,2008,480,,PRY,30
Perú,Ambos sexos,2008,480,,PER,37
Uruguay,Ambos sexos,2008,480,,URY,29
Venezuela (República Bolivariana de),Ambos sexos,2008,480,,VEN,54
Argentina,Hombres,2008,480,,ARG,39
Bolivia (Estado Plurinacional de),Hombres,2008,480,,BOL,35
Brasil,Hombres,2008,480,,BRA,39
Chile,Hombres,2008,480,,CHL,30
Colombia,Hombres,2008,480,,COL,28
Costa Rica,Hombres,2008,480,,CRI,35
República Dominicana,Hombres,2008,480,,DOM,24
Ecuador,Hombres,2008,480,,ECU,36
El Salvador,Hombres,2008,480,,SLV,39
Guatemala,Hombres,2008,480,,GTM,30
Honduras,Hombres,2008,480,,HND,38
México,Hombres,2008,480,,MEX,44
Nicaragua,Hombres,2008,480,,NIC,29
Panamá,Hombres,2008,480,,PAN,12
Paraguay,Hombres,2008,480,,PRY,31
Perú,Hombres,2008,480,,PER,41
Uruguay,Hombres,2008,480,,URY,28
Venezuela (República Bolivariana de),Hombres,2008,480,,VEN,56
Argentina,Mujeres,2008,480,,ARG,39
Bolivia (Estado Plurinacional de),Mujeres,2008,480,,BOL,31
